text_id,url,source_slug,skip,original_slug,last_status,last_checked,comments
48,https://www.let.leidenuniv.nl/Dutch/Ceneton/BarentszBuchelioen1655.html,ceneton:BarentszBuchelioen1655,,,,,
49,https://www.let.leidenuniv.nl/Dutch/Ceneton/BaronKeesLouwen1667.html,ceneton:BaronKeesLouwen1667,,,,,
50,https://www.let.leidenuniv.nl/Dutch/Ceneton/BaronKeesLouwen1679.html,ceneton:BaronKeesLouwen1679,,,,,
51,https://www.let.leidenuniv.nl/Dutch/Ceneton/BaronLichthart1653.html,ceneton:BaronLichthart1653,,,,,
52,https://www.let.leidenuniv.nl/Dutch/Ceneton/BedrogeGasten1679.html,ceneton:BedrogeGasten1679,,,,,
53,https://www.let.leidenuniv.nl/Dutch/Ceneton/BekeerdeDronkaart1795.html,ceneton:BekeerdeDronkaart1795,,,,,
54,https://www.let.leidenuniv.nl/Dutch/Ceneton/BerckmansAlphonsius1639.html,ceneton:BerckmansAlphonsius1639,,,,,
55,https://www.let.leidenuniv.nl/Dutch/Ceneton/BerckmansJoseph1647ca.html,ceneton:BerckmansJoseph1647ca,,,,,
56,https://www.let.leidenuniv.nl/Dutch/Ceneton/BerghJeronimo1621.html,ceneton:BerghJeronimo1621,,,,,
57,https://www.let.leidenuniv.nl/Dutch/Ceneton/BerghJeronimo1638.html,ceneton:BerghJeronimo1638,,,,,
58,https://www.let.leidenuniv.nl/Dutch/Ceneton/BernagieGoeVrouw1686.html,ceneton:BernagieGoeVrouw1686,,,,,
59,https://www.let.leidenuniv.nl/Dutch/Ceneton/BernagieHuwelykSluyten1685.html,ceneton:BernagieHuwelykSluyten1685,,,,,
60,https://www.let.leidenuniv.nl/Dutch/Ceneton/BernagieHuwelykenStaat1684.html,ceneton:BernagieHuwelykenStaat1684,,,,,
61,https://www.let.leidenuniv.nl/Dutch/Ceneton/BernagieJonker1684.html,ceneton:BernagieJonker1684,,,,,
62,https://www.let.leidenuniv.nl/Dutch/Ceneton/BernagieJonker1781.html,ceneton:BernagieJonker1781,,,,,
63,https://www.let.leidenuniv.nl/Dutch/Ceneton/BernagieJuffer1685.html,ceneton:BernagieJuffer1685,,,,,
64,https://www.let.leidenuniv.nl/Dutch/Ceneton/BernagieKantoorknecht1685.html,ceneton:BernagieKantoorknecht1685,,,,,
65,https://www.let.leidenuniv.nl/Dutch/Ceneton/BestebenCatilina1647.html,ceneton:BestebenCatilina1647,,,,,
66,https://www.let.leidenuniv.nl/Dutch/Ceneton/BidlooFabiusSeverus1680.html,ceneton:BidlooFabiusSeverus1680,,,,,
67,https://www.let.leidenuniv.nl/Dutch/Ceneton/BidlooKarelErfprins1679a.html,ceneton:BidlooKarelErfprins1679a,,,,,
68,https://www.let.leidenuniv.nl/Dutch/Ceneton/BidlooMinnaars1719.html,ceneton:BidlooMinnaars1719,,,,,
69,https://www.let.leidenuniv.nl/Dutch/Ceneton/BidlooVreede1678a.html,ceneton:BidlooVreede1678a,,,,,
70,https://www.let.leidenuniv.nl/Dutch/Ceneton/BieAlphonsus1673.html,ceneton:BieAlphonsus1673,,,,,
71,https://www.let.leidenuniv.nl/Dutch/Ceneton/BieBorsesnyers1673.html,ceneton:BieBorsesnyers1673,,,,,
